Job_Role,Required_Skills
Data Scientist,"nlp, pandas, deep learning, seaborn"
Embedded Systems Engineer,"raspberry pi, c, iot, microcontrollers"
NLP Engineer,"text classification, nlp, transformers, llms, huggingface, sentiment analysis, bert"
Embedded Systems Engineer,"c, c++, iot, microcontrollers, raspberry pi"
Frontend Developer,"nextjs, bootstrap, responsive design, figma, tailwind"
Software Tester,"automation testing, jira, manual testing, selenium"
Machine Learning Engineer,"flask, kubernetes, docker, mlops, computer vision, deep learning, aws"
Frontend Developer,"tailwind, figma, html, angular, nextjs, javascript, css, bootstrap"
Network Engineer,"tcp/ip, firewalls, linux, network security, switching, cisco"
Cloud Architect,"networking, docker, linux, kubernetes"
NLP Engineer,"nlp, huggingface, sentiment analysis, llms, bert"
Database Administrator,"mysql, postgresql, sql, database tuning"
Android Developer,"firebase, java, kotlin, rest api"
Database Administrator,"database tuning, mysql, sql, backup recovery, performance optimization"
DevOps Engineer,"ansible, linux, kubernetes, github actions, jenkins, monitoring, docker"
Data Analyst,"dashboarding, excel, pandas, tableau"
Android Developer,"android studio, rest api, kotlin, jetpack compose, sqlite, java"
Software Tester,"jira, automation testing, test cases, api testing, selenium"
UI/UX Designer,"responsive design, adobe xd, figma, design systems"
Network Engineer,"firewalls, switching, tcp/ip, vpn, network security, routing"
Computer Vision Engineer,"image processing, deep learning, tensorflow, cnn, python"
Blockchain Developer,"polygon, smart contracts, defi, web3, blockchain security"
AI Engineer,"langchain, huggingface, nlp, prompt engineering, python, openai api, transformers, rag"
Android Developer,"material design, sqlite, kotlin, java, rest api, android studio, jetpack compose, firebase"
NLP Engineer,"nlp, text classification, sentiment analysis, llms, huggingface"
Blockchain Developer,"hardhat, polygon, solidity, rust, ethereum"
Mobile App Developer,"swift, flutter, firebase, mobile ui"
Backend Developer,"mongodb, spring boot, microservices, python, flask, rest api"
Mobile App Developer,"firebase, flutter, ios, react native, api integration, dart"
Data Analyst,"sql, dashboarding, excel, tableau, power bi, statistics, data visualization"
iOS Developer,"core data, xcode, swift, firebase"
Network Engineer,"tcp/ip, network security, cisco, linux, vpn, switching, routing, firewalls"
Data Analyst,"data visualization, statistics, python, power bi, dashboarding"
iOS Developer,"firebase, swift, api integration, xcode, ios"
AR/VR Developer,"arcore, c#, vr interaction, unity, 3d modeling, arkit, unreal engine"
Embedded Systems Engineer,"c++, arduino, iot, embedded linux, c, raspberry pi, microcontrollers"
Android Developer,"jetpack compose, rest api, kotlin, material design, java, android studio"
Data Scientist,"scikit-learn, deep learning, seaborn, sql, tensorflow, statistics, matplotlib, python"
AR/VR Developer,"arcore, unreal engine, vr interaction, c#, unity"
iOS Developer,"core data, xcode, swiftui, firebase"
UI/UX Designer,"adobe xd, prototyping, wireframing, user research"
Data Scientist,"deep learning, pandas, python, machine learning"
Cloud Architect,"kubernetes, docker, ci/cd, linux"
Network Engineer,"network security, routing, switching, tcp/ip, firewalls, linux, cisco"
DevOps Engineer,"terraform, bash, linux, prometheus, docker, kubernetes, jenkins, monitoring"
Frontend Developer,"html, redux, vue, react, tailwind, css"
AI Engineer,"tensorflow, python, llms, rag, openai api, prompt engineering, huggingface, nlp"
Frontend Developer,"css, html, bootstrap, figma, vue, angular, responsive design, react"
Cloud Architect,"networking, azure, docker, kubernetes"
Embedded Systems Engineer,"microcontrollers, arduino, c, c++"
Data Analyst,"dashboarding, pandas, python, tableau"
UI/UX Designer,"design systems, wireframing, adobe xd, responsive design, user research, figma"
NLP Engineer,"text classification, bert, nlp, llms"
UI/UX Designer,"wireframing, figma, prototyping, adobe xd, design systems, user research"
Backend Developer,"nodejs, redis, mongodb, postgresql"
Backend Developer,"spring boot, java, nodejs, rest api"
UI/UX Designer,"figma, design systems, wireframing, adobe xd, user research, prototyping"
Software Tester,"api testing, automation testing, selenium, test cases, bug tracking, jira"
Embedded Systems Engineer,"c, arduino, raspberry pi, microcontrollers"
Machine Learning Engineer,"fastapi, computer vision, flask, docker, kubernetes, python, deep learning, model deployment"
Mobile App Developer,"dart, kotlin, react native, flutter, api integration, firebase, mobile ui, swift"
NLP Engineer,"bert, python, nlp, transformers, huggingface, llms, text classification"
Full Stack Developer,"firebase, javascript, python, rest api, sql, react, docker"
UI/UX Designer,"prototyping, adobe xd, responsive design, user research, figma"
Database Administrator,"postgresql, backup recovery, performance optimization, database tuning, mysql, oracle, sql"
Cloud Architect,"aws, docker, microservices, networking"
iOS Developer,"api integration, swift, swiftui, firebase, ios, core data"
Backend Developer,"microservices, django, rest api, mongodb, express, nodejs, java"
NLP Engineer,"nlp, huggingface, text classification, python"
DevOps Engineer,"jenkins, docker, aws, prometheus, kubernetes"
Cybersecurity Analyst,"vulnerability assessment, firewalls, incident response, linux, ethical hacking"
Computer Vision Engineer,"cnn, object detection, deep learning, tensorflow"
Computer Vision Engineer,"deep learning, image processing, python, cnn, object detection"
Business Analyst,"jira, communication, sql, excel, documentation, power bi, requirement gathering"
Machine Learning Engineer,"flask, deep learning, docker, aws, computer vision, mlops, python, pytorch"
UI/UX Designer,"figma, wireframing, design systems, user research, responsive design, adobe xd, prototyping"
DevOps Engineer,"kubernetes, bash, prometheus, terraform, aws"
Frontend Developer,"redux, angular, bootstrap, responsive design, tailwind"
NLP Engineer,"nlp, llms, sentiment analysis, transformers, text classification, huggingface, bert, python"
Full Stack Developer,"rest api, mongodb, nodejs, javascript"
Data Scientist,"seaborn, numpy, pandas, deep learning, scikit-learn, matplotlib, nlp"
AR/VR Developer,"arkit, c#, unreal engine, vr interaction, arcore"
Data Scientist,"feature engineering, pandas, statistics, tensorflow, machine learning, nlp"
Database Administrator,"sql, performance optimization, oracle, mysql, backup recovery"
Mobile App Developer,"ios, dart, android, react native"
Blockchain Developer,"cryptography, hardhat, solidity, defi, rust, smart contracts, ethereum, polygon"
Database Administrator,"performance optimization, backup recovery, postgresql, database tuning"
AI Engineer,"deep learning, rag, tensorflow, huggingface, python, llms, prompt engineering"
Database Administrator,"postgresql, backup recovery, performance optimization, database tuning"
Business Analyst,"power bi, communication, data analysis, requirement gathering, sql, excel, documentation"
Android Developer,"sqlite, material design, jetpack compose, java, kotlin, android studio, rest api, firebase"
Cloud Architect,"microservices, cloud security, gcp, terraform"
Network Engineer,"tcp/ip, switching, network security, routing, vpn"
Embedded Systems Engineer,"microcontrollers, embedded linux, c, raspberry pi, iot, arduino, c++"
Network Engineer,"cisco, firewalls, tcp/ip, routing, vpn, switching"
AR/VR Developer,"3d modeling, arkit, unreal engine, arcore, c#, unity, vr interaction"
Data Scientist,"numpy, scikit-learn, statistics, nlp, tensorflow, python, deep learning"
Computer Vision Engineer,"yolo, cnn, tensorflow, image processing, python"
Backend Developer,"microservices, nodejs, mongodb, express"
DevOps Engineer,"jenkins, docker, ansible, linux, aws, kubernetes, github actions"
iOS Developer,"swift, core data, firebase, api integration, xcode, swiftui"
Backend Developer,"redis, flask, spring boot, python, nodejs, microservices"
Cybersecurity Analyst,"ethical hacking, cryptography, soc, firewalls, linux, vulnerability assessment"
Site Reliability Engineer,"aws, prometheus, terraform, docker, kubernetes, monitoring"
DevOps Engineer,"jenkins, monitoring, terraform, kubernetes, prometheus, ansible"
Blockchain Developer,"defi, blockchain security, ethereum, web3, rust"
Cloud Architect,"linux, networking, kubernetes, azure, terraform, cloud security"
Mobile App Developer,"api integration, swift, ios, android, dart, flutter, mobile ui"
Database Administrator,"mysql, database tuning, sql, oracle, performance optimization"
Business Analyst,"power bi, requirement gathering, sql, jira, documentation, communication, excel"
NLP Engineer,"text classification, python, llms, sentiment analysis, nlp, huggingface"
NLP Engineer,"sentiment analysis, python, llms, huggingface, bert, text classification"
AR/VR Developer,"arcore, arkit, vr interaction, 3d modeling"
Business Analyst,"documentation, communication, jira, requirement gathering, data analysis, excel, power bi"
UI/UX Designer,"responsive design, figma, user research, wireframing, design systems, adobe xd"
QA Engineer,"postman, automation testing, api testing, selenium"
QA Engineer,"api testing, selenium, performance testing, postman, automation testing"
Computer Vision Engineer,"deep learning, python, object detection, tensorflow, image processing, opencv, cnn"
Site Reliability Engineer,"aws, terraform, docker, linux"
Computer Vision Engineer,"object detection, tensorflow, cnn, yolo"
Site Reliability Engineer,"linux, kubernetes, terraform, incident management, prometheus, monitoring"
Cybersecurity Analyst,"soc, cryptography, linux, network security, wireshark, incident response, vulnerability assessment, firewalls"
iOS Developer,"xcode, ios, core data, api integration, swiftui"
Business Analyst,"communication, excel, requirement gathering, data analysis, documentation, power bi"
NLP Engineer,"huggingface, nlp, sentiment analysis, text classification, transformers, llms"
Embedded Systems Engineer,"microcontrollers, iot, c, embedded linux, raspberry pi, arduino, c++"
Android Developer,"sqlite, material design, java, firebase"
Data Scientist,"sql, python, tensorflow, nlp, pandas"
Mobile App Developer,"react native, mobile ui, dart, ios, kotlin, api integration"
Database Administrator,"mysql, database tuning, backup recovery, performance optimization, sql"
Game Developer,"game physics, c++, unity, unreal engine, blender, c#"
UI/UX Designer,"prototyping, design systems, user research, adobe xd, wireframing, figma"
